id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
Next_91,instagram,1,55.990002,1,15,0
Next_92,instagram,2,139.98,3,15,0
Next_93,google,1,62.990002,4,16,0
Next_94,facebook,2,43.990002,1,22,0
Next_95,instagram,1,155.98,5,16,0
Next_96,instagram,1,56.990002,1,14,0
Next_97,google,5,63.990002,4,21,0
Next_98,google,0,0,0,21,1
Next_99,instagram,0,0,7,14,0
Next_100,google,2,55.990002,0,3,1
Next_101,google,8,86.980003,0,20,0
Next_102,google,0,0,0,13,0
Next_103,google,0,0,6,4,1
Next_104,referral,5,172.47,1,18,1
Next_105,instagram,0,0,2,14,0
Next_106,facebook,9,46.990002,0,10,0
Next_107,instagram,5,134.97,5,15,0
Next_108,google,2,59.990002,2,8,0
Next_109,google,0,0,4,5,0
Next_110,facebook,0,0,1,16,0
Next_111,other,4,57.990002,0,1,0
Next_112,google,1,56.490002,2,18,0
Next_113,google,0,0,2,2,0
Next_114,referral,2,56.990002,2,15,0
Next_115,google,3,64.489998,1,16,1
Next_116,referral,0,0,1,1,0
Next_117,google,1,65.489998,5,24,0
Next_118,facebook,1,61.990002,5,21,0
Next_119,instagram,0,0,5,19,0
Next_120,facebook,4,61.490002,5,10,0
Next_121,google,1,236.97,3,7,1
Next_122,facebook,0,0,5,21,0
Next_123,instagram,0,0,0,16,0
Next_124,facebook,2,51.990002,0,12,0
Next_125,google,2,54.990002,3,15,0
Next_126,google,4,135.98,2,16,0
Next_127,instagram,1,61.490002,1,15,1
Next_128,google,4,55.990002,0,15,0
Next_129,facebook,8,54.990002,1,16,0
Next_130,google,0,0,1,5,0
Next_131,google,12,52.990002,1,22,0
Next_132,facebook,2,50.990002,5,18,0
Next_133,google,4,44.990002,1,16,0
Next_134,instagram,0,0,7,11,1
Next_135,google,4,166.47,5,18,0
Next_136,instagram,2,63.990002,4,11,0
Next_137,facebook,1,66.989998,3,20,0
Next_138,instagram,1,51.490002,1,11,0
Next_139,google,1,154.47,4,4,0
Next_140,facebook,1,230.97,5,1,0
Next_141,facebook,5,64.989998,5,20,0
Next_142,facebook,3,55.990002,0,9,0
Next_143,facebook,0,0,0,2,1
Next_144,facebook,2,66.989998,1,19,0
Next_145,google,5,77.489998,1,12,1
Next_146,instagram,1,46.990002,6,19,1
Next_147,google,0,0,4,19,0
Next_148,instagram,0,0,3,12,1
Next_149,instagram,1,56.490002,2,19,0
Next_150,instagram,3,75.980003,2,14,1
Next_151,google,0,0,2,18,0
Next_152,google,0,0,5,5,1
Next_153,google,0,0,2,3,0
Next_154,referral,0,0,2,17,1
Next_155,facebook,1,60.990002,2,17,0
Next_156,instagram,1,129.98,5,25,1
Next_157,google,0,0,5,7,0
Next_158,google,2,107.98,4,9,1
Next_159,google,0,0,1,10,1
Next_160,facebook,7,128.98,4,7,0
Next_161,facebook,1,62.490002,7,14,1
Next_162,facebook,4,46.990002,5,16,0
Next_163,instagram,3,49.990002,1,23,1
Next_164,instagram,0,0,6,26,0
Next_165,facebook,2,65.989998,4,22,0
Next_166,google,0,0,1,17,0
Next_167,other,0,0,6,11,0
Next_168,google,1,72.989998,3,7,0
Next_169,referral,0,0,1,14,0
Next_170,google,4,97.980003,1,14,0
Next_171,facebook,4,75.989998,3,25,1
Next_172,google,1,49.990002,3,10,1
Next_173,facebook,6,125.97,5,23,0
Next_174,google,3,80.489998,0,20,0
Next_175,instagram,4,64.489998,7,16,0
Next_176,other,4,83.489998,7,11,1
Next_177,google,1,68.989998,4,10,0
Next_178,google,2,62.990002,5,1,0
Next_179,facebook,4,48.990002,4,21,0
Next_180,facebook,0,0,1,5,0
Next_181,instagram,3,63.990002,5,8,0
Next_182,instagram,0,0,7,8,1
Next_183,google,0,0,2,21,0
Next_184,instagram,0,0,6,19,0
Next_185,instagram,1,170.97,1,6,1
Next_186,instagram,1,70.489998,6,21,0
Next_187,google,4,57.990002,5,16,1
Next_188,google,1,58.490002,4,19,0
Next_189,instagram,8,52.990002,6,22,0
Next_190,google,5,203.97,4,1,1
Next_191,instagram,0,0,5,6,0
Next_192,google,2,42.490002,5,27,0
Next_193,instagram,11,59.990002,1,23,0
Next_194,referral,2,215.97,1,22,1
Next_195,google,1,68.989998,4,26,0
Next_196,facebook,1,56.990002,5,23,0
Next_197,instagram,7,57.990002,3,22,0
Next_198,google,0,0,0,23,0
Next_199,facebook,1,58.490002,4,13,1
Next_200,instagram,1,55.990002,4,9,0
Next_201,facebook,0,0,0,3,0
Next_202,instagram,0,0,0,18,0
Next_203,facebook,0,0,7,10,1
Next_204,google,0,0,6,2,0
Next_205,instagram,1,65.989998,0,8,0
Next_206,facebook,4,49.990002,2,3,0
Next_207,instagram,2,56.990002,3,15,1
Next_208,google,1,50.490002,2,1,1
Next_209,facebook,1,95.980003,5,14,0
Next_210,facebook,0,0,3,13,0
Next_211,google,3,131.98,5,14,1
Next_212,google,2,55.990002,0,25,1
Next_213,google,1,70.489998,6,19,0
Next_214,google,4,65.989998,7,16,0
Next_215,facebook,1,61.990002,2,18,1
Next_216,referral,1,106.98,2,3,0
Next_217,google,0,0,5,23,0
Next_218,google,3,53.990002,5,2,1
Next_219,facebook,1,58.490002,1,8,0
Next_220,instagram,0,0,7,11,1
Next_221,google,8,124.98,0,1,0
Next_222,google,4,61.990002,4,13,0
Next_223,facebook,0,0,1,1,0
Next_224,instagram,1,68.489998,2,20,0
Next_225,google,1,67.989998,7,23,0
Next_226,facebook,0,0,2,2,0
Next_227,google,0,0,4,15,0
Next_228,facebook,0,0,3,2,0
Next_229,instagram,0,0,2,14,1
Next_230,instagram,6,68.989998,2,21,0
Next_231,facebook,0,0,4,23,1
Next_232,google,0,0,4,15,0
Next_233,google,1,125.98,6,9,1
Next_234,referral,1,71.989998,2,16,0
Next_235,instagram,0,0,2,12,0
Next_236,google,1,49.990002,1,15,0
Next_237,instagram,2,102.98,6,15,0
Next_238,facebook,1,73.989998,0,13,0
Next_239,facebook,4,59.490002,5,1,0
Next_240,facebook,4,44.990002,6,15,0
Next_241,google,0,0,4,26,1
Next_242,instagram,9,70.489998,1,19,1
Next_243,facebook,4,59.990002,5,16,0
Next_244,google,1,74.989998,6,9,0
Next_245,instagram,3,61.990002,2,29,1
Next_246,instagram,0,0,5,23,0
Next_247,google,4,119.98,5,26,0
Next_248,google,0,0,1,4,0
Next_249,google,3,68.489998,0,10,1
Next_250,other,1,59.990002,6,11,0
Next_251,facebook,5,59.490002,3,20,0
Next_252,google,0,0,7,19,0
Next_253,google,1,159.98,1,13,0
Next_254,facebook,1,130.98,3,12,0
Next_255,facebook,0,0,0,21,1
Next_256,facebook,4,72.989998,4,17,0
Next_257,google,0,0,0,14,0
Next_258,google,0,0,4,18,1
Next_259,instagram,1,62.490002,0,15,0
Next_260,google,3,45.490002,5,18,0
Next_261,google,2,105.98,5,2,0
Next_262,google,0,0,2,16,0
Next_263,facebook,0,0,1,16,0
Next_264,google,3,59.490002,1,16,1
Next_265,google,0,0,6,17,0
Next_266,google,0,0,0,15,0
Next_267,instagram,3,170.97,6,26,1
Next_268,instagram,7,65.989998,2,13,0
Next_269,google,1,66.989998,6,18,0
Next_270,facebook,1,78.489998,5,10,0
Next_271,instagram,2,182.97,0,4,1
Next_272,google,0,0,7,7,0
Next_273,google,2,147.98,1,11,1
Next_274,facebook,1,50.990002,5,23,0
Next_275,instagram,1,53.490002,5,23,0
Next_276,facebook,4,58.490002,7,9,1
Next_277,google,7,57.990002,0,8,1
Next_278,facebook,4,61.990002,3,19,0
Next_279,google,9,54.490002,2,13,0
Next_280,facebook,0,0,4,8,0
Next_281,google,1,67.989998,4,17,0
Next_282,instagram,3,60.990002,3,17,1
Next_283,facebook,0,0,3,13,0
Next_284,google,0,0,6,22,0
Next_285,referral,0,0,1,14,0
Next_286,instagram,0,0,3,18,0
Next_287,instagram,0,0,6,21,0
Next_288,facebook,0,0,7,16,0
Next_289,instagram,2,52.990002,1,24,0
Next_290,google,4,73.489998,6,2,0
Next_291,google,3,71.489998,4,24,1
Next_292,google,1,58.490002,6,15,0
Next_293,facebook,1,71.489998,6,18,0
Next_294,instagram,0,0,0,24,0
Next_295,instagram,1,47.490002,0,4,1
Next_296,instagram,0,0,1,15,0
Next_297,google,3,56.990002,6,10,1
Next_298,google,2,50.490002,2,27,0
Next_299,facebook,3,68.989998,3,5,1
Next_300,instagram,3,56.990002,1,13,1
Next_301,other,0,0,3,1,0
Next_302,google,0,0,0,12,0
Next_303,google,2,49.990002,2,9,1
Next_304,google,0,0,7,23,0
Next_305,instagram,0,0,6,9,0
Next_306,instagram,0,0,1,21,0
Next_307,instagram,1,63.990002,1,5,0
Next_308,instagram,1,64.489998,2,16,1
Next_309,instagram,3,56.990002,4,7,0
Next_310,instagram,0,0,0,11,1
Next_311,instagram,0,0,4,17,0
Next_312,instagram,0,0,1,15,0
Next_313,facebook,5,69.489998,6,18,0
Next_314,instagram,1,64.489998,5,24,0
Next_315,other,1,58.990002,2,22,0
Next_316,google,0,0,6,18,1
Next_317,google,0,0,4,17,0
Next_318,instagram,3,107.98,5,19,0
Next_319,instagram,0,0,4,12,0
Next_320,google,0,0,4,17,0
Next_321,facebook,6,225.96001,5,1,0
Next_322,google,0,0,4,12,1
Next_323,google,0,0,5,7,0
Next_324,google,2,43.990002,0,20,0
Next_325,google,0,0,1,11,0
Next_326,instagram,0,0,2,13,1
Next_327,google,6,54.990002,0,22,0
Next_328,facebook,1,67.989998,4,12,1
Next_329,google,0,0,0,18,0
Next_330,facebook,0,0,6,15,0
Next_331,google,5,66.489998,1,7,1
Next_332,google,1,199.47,5,13,1
Next_333,google,2,57.490002,1,9,0
Next_334,instagram,0,0,0,19,1
Next_335,google,2,45.990002,2,19,0
Next_336,google,10,52.990002,7,19,1
Next_337,facebook,8,172.47,1,21,0
Next_338,google,3,229.47,0,10,0
Next_339,instagram,0,0,1,12,1
Next_340,referral,5,106.98,2,16,1
Next_341,instagram,3,56.490002,6,20,0
Next_342,facebook,0,0,0,6,0
Next_343,facebook,11,46.990002,4,24,0
Next_344,instagram,0,0,5,17,0
Next_345,google,4,60.990002,1,20,0
Next_346,instagram,1,125.97,7,13,0
Next_347,google,1,73.489998,1,5,0
Next_348,referral,3,48.490002,1,20,1
Next_349,referral,2,173.97,4,13,0
Next_350,google,0,0,0,1,1
Next_351,facebook,2,133.98,1,19,1
Next_352,google,9,63.990002,4,18,0
Next_353,google,2,53.490002,3,12,0
Next_354,facebook,1,129.98,2,8,0
Next_355,instagram,3,141.98,3,18,0
Next_356,google,1,67.489998,5,9,1
Next_357,facebook,2,49.490002,2,18,0
Next_358,instagram,0,0,4,6,1
Next_359,facebook,1,71.980003,0,13,1
Next_360,google,1,200.97,2,13,0
Next_361,facebook,4,74.989998,2,23,0
Next_362,instagram,1,51.990002,4,21,0
Next_363,instagram,1,147.98,1,19,0
Next_364,instagram,0,0,6,17,0
Next_365,facebook,1,62.990002,6,2,0
Next_366,instagram,1,87.989998,0,16,1
Next_367,google,1,153.98,3,10,1
Next_368,google,1,71.489998,6,16,0
Next_369,instagram,1,68.989998,3,11,0
Next_370,google,3,227.97,7,20,0
Next_371,facebook,1,78.989998,3,5,1
Next_372,other,2,65.989998,2,20,0
Next_373,google,1,148.47,4,11,0
Next_374,google,1,72.989998,6,11,1
Next_375,instagram,1,60.490002,3,3,0
Next_376,instagram,5,66.489998,2,24,0
Next_377,google,5,188.97,6,5,0
Next_378,instagram,0,0,6,20,0
Next_379,instagram,0,0,1,25,0
Next_380,facebook,2,61.990002,3,15,0
Next_381,google,1,48.490002,1,2,0
Next_382,instagram,6,80.989998,0,17,0
Next_383,facebook,1,156.98,4,3,1
Next_384,google,0,0,4,20,0
Next_385,google,5,60.490002,6,15,0
Next_386,instagram,1,78.989998,1,28,1
Next_387,google,0,0,3,27,0
Next_388,instagram,2,46.990002,6,19,0
Next_389,google,1,83.489998,4,16,0
Next_390,instagram,2,89.980003,1,22,0
Next_391,facebook,0,0,5,12,0
Next_392,other,2,167.97,4,4,1
Next_393,google,0,0,5,21,0
Next_394,instagram,6,55.990002,0,19,0
Next_395,instagram,2,117.98,5,21,1
Next_396,referral,4,101.98,5,6,0
Next_397,google,7,77.489998,6,18,0
Next_398,instagram,2,73.989998,2,5,0
Next_399,other,0,0,3,25,0
Next_400,facebook,0,0,5,7,0
Next_401,google,2,68.489998,0,23,0
Next_402,facebook,0,0,7,10,0
Next_403,google,1,41.490002,2,16,0
Next_404,instagram,2,64.989998,1,11,0
Next_405,google,0,0,2,12,0
Next_406,google,5,46.990002,1,1,1
Next_407,instagram,2,72.989998,5,30,0
Next_408,google,5,71.989998,7,21,0
Next_409,instagram,1,190.47,2,25,0
Next_410,instagram,0,0,7,13,0
Next_411,facebook,0,0,5,22,0
Next_412,google,8,146.97,3,10,0
Next_413,google,0,0,5,11,0
Next_414,google,0,0,0,8,1
Next_415,google,0,0,7,14,0
Next_416,facebook,1,48.490002,3,27,0
Next_417,other,9,66.489998,3,25,1
Next_418,referral,0,0,2,11,0
Next_419,instagram,5,60.990002,4,19,0
Next_420,instagram,1,68.989998,4,18,0
Next_421,instagram,0,0,0,4,1
Next_422,facebook,1,61.990002,4,25,0
Next_423,instagram,1,67.989998,4,13,0
Next_424,facebook,5,57.490002,3,21,1
Next_425,referral,2,191.97,2,9,0
Next_426,instagram,3,233.97,0,17,1
Next_427,google,1,43.990002,2,9,0
Next_428,other,0,0,4,11,1
Next_429,instagram,0,0,2,16,1
Next_430,instagram,0,0,0,9,0
Next_431,google,1,59.490002,4,10,0
Next_432,google,1,58.990002,0,11,0
Next_433,referral,0,0,2,24,0
Next_434,google,0,0,4,1,0
Next_435,google,1,70.989998,3,25,0
Next_436,facebook,3,155.98,6,24,1
Next_437,facebook,5,148.98,2,10,1
Next_438,google,1,52.990002,2,21,0
Next_439,google,0,0,7,9,1
Next_440,instagram,0,0,4,20,0
Next_441,google,1,74.989998,2,15,1
Next_442,google,0,0,5,12,0
Next_443,facebook,1,111.98,1,8,0
Next_444,google,1,69.489998,4,2,1
Next_445,instagram,0,0,2,1,0
Next_446,google,0,0,3,5,1
Next_447,facebook,0,0,4,20,0
Next_448,facebook,0,0,0,16,0
Next_449,instagram,0,0,4,13,0
Next_450,facebook,8,65.989998,2,17,1
Next_451,facebook,1,55.990002,3,13,1
Next_452,google,0,0,0,2,1
Next_453,instagram,2,34.490002,3,9,0
Next_454,facebook,0,0,5,13,0
Next_455,referral,4,69.489998,5,16,1
Next_456,google,4,140.98,4,5,1
Next_457,facebook,2,72.489998,4,4,0
Next_458,google,0,0,7,16,0
Next_459,other,0,0,4,15,1
Next_460,google,0,0,2,23,0
Next_461,google,2,141.98,0,22,0
Next_462,facebook,1,65.989998,5,2,0
Next_463,instagram,2,60.990002,6,16,1
Next_464,google,4,55.990002,1,7,0
Next_465,google,0,0,0,19,1
Next_466,google,10,46.490002,4,15,0
Next_467,instagram,1,47.990002,7,18,1
Next_468,instagram,0,0,1,29,1
Next_469,google,2,110.98,1,4,1
Next_470,referral,4,64.989998,5,22,0
Next_471,instagram,0,0,0,23,0
Next_472,google,4,72.989998,7,19,0
Next_473,instagram,6,61.990002,5,11,1
Next_474,google,1,52.490002,0,17,0
Next_475,instagram,1,55.990002,1,24,0
Next_476,instagram,0,0,3,16,0
Next_477,google,0,0,4,6,1
Next_478,facebook,0,0,6,18,0
Next_479,instagram,13,50.490002,0,8,0
Next_480,google,2,68.989998,5,14,0
Next_481,instagram,13,93.980003,1,19,0
Next_482,instagram,4,62.990002,6,13,1
Next_483,instagram,7,121.47,0,17,0
Next_484,google,2,125.98,6,13,0
Next_485,google,0,0,1,18,0
Next_486,google,3,73.989998,4,25,0
Next_487,instagram,3,64.989998,5,2,1
Next_488,facebook,2,77.989998,0,16,1
Next_489,google,0,0,4,1,1
Next_490,google,0,0,2,23,1
Next_491,facebook,5,79.989998,0,22,0
Next_492,google,8,191.97,2,21,0
Next_493,google,12,62.990002,7,14,0
Next_494,instagram,5,49.990002,5,13,0
Next_495,google,2,99.980003,7,20,0
Next_496,google,3,176.97,0,9,1
Next_497,google,0,0,0,16,0
Next_498,instagram,0,0,5,26,0
Next_499,instagram,0,0,0,2,0
Next_500,facebook,3,42.490002,2,16,1
Next_501,google,9,72.989998,5,8,1
Next_502,instagram,2,61.490002,4,20,1
Next_503,instagram,3,57.990002,3,21,1
Next_504,facebook,0,0,4,24,0
Next_505,google,1,70.489998,3,16,1
Next_506,instagram,3,65.989998,1,25,0
Next_507,instagram,3,116.97,2,14,0
Next_508,google,5,111.98,1,10,0
Next_509,facebook,2,87.980003,1,6,0
Next_510,referral,0,0,6,1,1
Next_511,google,0,0,3,17,0
Next_512,google,0,0,2,6,1
Next_513,facebook,4,59.990002,2,21,0
Next_514,other,5,72.989998,4,14,0
Next_515,other,3,63.990002,4,4,1
Next_516,instagram,2,66.989998,5,22,0
Next_517,facebook,0,0,0,18,1
Next_518,instagram,8,67.989998,6,27,1
Next_519,google,0,0,7,6,0
Next_520,instagram,2,159.98,5,3,1
Next_521,instagram,0,0,0,16,1
Next_522,google,1,79.980003,0,22,0
Next_523,facebook,1,99.980003,6,15,1
Next_524,instagram,0,0,0,9,0
Next_525,google,0,0,4,23,1
Next_526,google,0,0,0,12,0
Next_527,instagram,2,67.989998,4,18,0
Next_528,google,6,131.98,4,3,0
Next_529,facebook,1,59.490002,6,12,1
Next_530,instagram,3,54.990002,4,24,0
Next_531,google,6,130.47,6,12,0
Next_532,facebook,1,121.98,2,15,0
Next_533,facebook,0,0,7,21,0
Next_534,facebook,6,61.990002,0,12,1
Next_535,facebook,3,56.990002,1,22,0
Next_536,instagram,0,0,2,24,1
Next_537,google,2,59.990002,7,4,1
Next_538,instagram,1,60.490002,0,16,0
Next_539,instagram,0,0,0,13,0
Next_540,instagram,1,149.98,6,21,0
Next_541,instagram,3,67.989998,5,12,1
Next_542,instagram,4,59.990002,4,18,0
Next_543,facebook,1,58.990002,1,25,0
Next_544,instagram,4,38.990002,0,14,0
Next_545,instagram,1,60.990002,5,30,0
Next_546,facebook,3,54.990002,1,6,1
Next_547,google,0,0,5,11,0
Next_548,instagram,1,72.489998,0,16,0
Next_549,facebook,1,59.490002,5,17,0
Next_550,google,1,68.489998,4,2,0
Next_551,referral,0,0,1,15,0
Next_552,referral,0,0,1,12,0
Next_553,instagram,0,0,6,17,0
Next_554,google,5,64.489998,6,19,0
Next_555,google,1,71.989998,0,11,0
Next_556,google,3,146.97,4,21,1
Next_557,instagram,1,64.989998,5,19,0
Next_558,google,1,72.989998,7,16,0
Next_559,facebook,1,65.489998,7,22,1
Next_560,instagram,0,0,6,16,0
Next_561,google,1,73.989998,3,22,0
Next_562,facebook,1,221.97,2,15,0
Next_563,facebook,1,37.990002,6,12,1
Next_564,google,2,50.490002,0,5,0
Next_565,instagram,0,0,4,19,0
Next_566,instagram,0,0,4,24,0
Next_567,facebook,2,185.97,2,21,1
Next_568,instagram,0,0,0,1,1
Next_569,google,0,0,0,15,0
Next_570,google,3,229.96001,2,16,0
Next_571,google,1,50.490002,0,10,0
Next_572,facebook,0,0,0,11,0
Next_573,facebook,1,71.989998,1,14,0
Next_574,google,1,51.990002,7,10,0
Next_575,facebook,4,67.989998,2,17,0
Next_576,instagram,4,71.989998,2,17,0
Next_577,instagram,0,0,7,15,0
Next_578,instagram,0,0,6,20,1
Next_579,google,5,109.98,0,16,0
Next_580,facebook,0,0,2,12,1
Next_581,instagram,2,54.990002,4,20,1
Next_582,instagram,2,40.990002,5,14,0
Next_583,other,0,0,7,14,1
Next_584,google,0,0,0,7,1
Next_585,facebook,1,139.98,1,16,0
Next_586,google,6,47.990002,0,23,0
Next_587,google,2,119.98,4,14,0
Next_588,facebook,0,0,4,20,0
Next_589,other,0,0,3,24,0
Next_590,google,0,0,0,21,0
Next_591,instagram,2,55.990002,2,23,1
Next_592,google,0,0,5,12,0
Next_593,google,2,117.98,3,19,0
Next_594,instagram,0,0,4,20,1
Next_595,google,2,64.989998,4,20,0
Next_596,google,3,51.990002,4,1,0
Next_597,instagram,3,95.980003,1,13,0
Next_598,referral,2,63.990002,7,14,0
Next_599,google,9,65.989998,3,16,0
Next_600,google,5,69.989998,1,2,0
Next_601,google,3,63.990002,3,23,0
Next_602,facebook,0,0,1,6,1
Next_603,instagram,1,72.489998,5,17,0
Next_604,instagram,0,0,3,18,0
Next_605,facebook,3,291.95999,5,18,0
Next_606,facebook,0,0,3,17,0
Next_607,instagram,1,53.990002,1,14,1
Next_608,google,4,55.990002,6,11,0
Next_609,instagram,2,56.990002,0,10,0
Next_610,facebook,0,0,0,9,0
Next_611,instagram,2,129.98,0,26,1
Next_612,google,2,248.97,4,19,0
Next_613,facebook,1,49.990002,2,2,1
Next_614,google,0,0,2,4,0
Next_615,facebook,2,46.990002,5,16,0
Next_616,facebook,2,115.98,0,10,0
Next_617,google,1,54.990002,6,5,0
Next_618,other,3,66.989998,4,16,0
Next_619,google,3,263.95999,0,26,0
Next_620,google,0,0,0,18,0
Next_621,facebook,3,61.990002,0,3,0
Next_622,google,4,65.489998,1,9,0
Next_623,facebook,8,69.989998,0,9,0
Next_624,instagram,1,52.490002,1,21,1
Next_625,google,2,81.989998,4,7,1
Next_626,google,3,50.990002,6,10,1
Next_627,instagram,3,62.990002,6,17,0
Next_628,instagram,2,103.98,0,4,1
Next_629,instagram,0,0,1,18,0
Next_630,instagram,1,58.990002,4,19,0
Next_631,google,4,243.96001,5,20,0
Next_632,google,2,73.989998,2,14,0
Next_633,facebook,0,0,1,12,0
Next_634,google,0,0,1,2,1
Next_635,facebook,1,52.990002,3,24,0
Next_636,google,4,61.990002,5,2,0
Next_637,google,6,46.990002,0,22,1
Next_638,instagram,5,84.989998,7,18,0
Next_639,google,2,60.490002,2,14,0
Next_640,instagram,5,54.490002,0,13,0
Next_641,google,1,37.990002,5,11,0
Next_642,facebook,1,70.989998,2,21,0
Next_643,google,0,0,1,19,0
Next_644,facebook,5,121.98,1,1,1
Next_645,facebook,1,54.490002,5,30,0
Next_646,instagram,3,63.990002,3,20,0
Next_647,google,0,0,6,23,0
Next_648,facebook,3,129.98,4,19,0
Next_649,instagram,1,66.989998,7,22,0
Next_650,google,1,121.98,4,8,0
Next_651,facebook,0,0,4,11,1
Next_652,google,0,0,4,24,0
Next_653,google,13,132.98,3,13,0
Next_654,google,0,0,0,2,0
Next_655,instagram,10,61.490002,4,17,0
Next_656,facebook,6,57.490002,5,13,0
Next_657,instagram,9,115.98,2,20,1
Next_658,facebook,4,283.95999,0,2,0
Next_659,google,0,0,4,10,0
Next_660,instagram,1,70.989998,3,17,0
Next_661,instagram,0,0,4,19,0
Next_662,facebook,0,0,3,20,0
Next_663,google,3,58.490002,1,27,0
Next_664,instagram,0,0,0,22,0
Next_665,instagram,1,139.47,2,7,0
Next_666,google,0,0,2,24,0
Next_667,instagram,0,0,0,8,0
Next_668,facebook,3,50.490002,0,18,0
Next_669,google,2,82.489998,5,26,0
Next_670,google,1,206.97,5,6,1
Next_671,google,1,46.990002,4,15,0
Next_672,instagram,0,0,4,12,1
Next_673,google,0,0,7,8,0
Next_674,google,2,58.990002,2,8,0
Next_675,facebook,0,0,2,6,1
Next_676,instagram,3,182.97,4,16,1
Next_677,google,3,74.989998,4,16,0
Next_678,facebook,0,0,3,19,1
Next_679,instagram,10,59.990002,4,3,0
Next_680,instagram,0,0,5,12,1
Next_681,google,0,0,5,12,0
Next_682,google,0,0,4,13,0
Next_683,instagram,4,46.990002,0,1,0
Next_684,facebook,1,72.489998,6,15,1
Next_685,instagram,5,65.989998,4,24,0
Next_686,referral,1,53.990002,1,12,1
Next_687,instagram,1,64.489998,4,12,0
Next_688,instagram,1,65.989998,4,21,0
Next_689,facebook,0,0,7,2,0
Next_690,referral,0,0,5,18,0
Next_691,google,0,0,2,13,1
Next_692,facebook,3,53.490002,4,6,1
Next_693,google,1,53.990002,6,16,0
Next_694,instagram,1,50.990002,1,21,0
Next_695,facebook,0,0,3,17,0
Next_696,facebook,0,0,0,13,1
Next_697,facebook,0,0,2,20,0
Next_698,instagram,0,0,4,16,0
Next_699,google,0,0,3,17,0
