client_id,year_month,service_type,telepass_pay,number_transactions,expenditures
22591,Jul-19,MONOPATTINO SHARING,1,5,18.2
22591,Feb-20,IMP.BOLLO RENDICONTO ANNUALE,1,1,2
22591,Jan-20,MOBILITÀ CONDIVISA,1,2,8
22591,Feb-20,MOBILITÀ CONDIVISA,1,3,11.4
22591,Aug-19,MOBILITÀ CONDIVISA,1,10,30.3
22591,Sep-19,MOBILITÀ CONDIVISA,1,32,107.6
22591,Oct-19,MOBILITÀ CONDIVISA,1,9,23.5
22591,Nov-19,MOBILITÀ CONDIVISA,1,13,42.55
22591,Dec-19,MOBILITÀ CONDIVISA,1,31,117.2
29499,Dec-19,PARCHEGGI/TRAGHETTI,0,1,0
23775,Jan-20,PARCHEGGI/TRAGHETTI,0,1,5
23775,Mar-20,PARCHEGGI/TRAGHETTI,0,2,5
25320,Mar-20,PARCHEGGI/TRAGHETTI,0,1,8.783171499
25320,Jul-19,PARCHEGGI/TRAGHETTI,0,1,13.19222844
25320,Oct-19,PARCHEGGI/TRAGHETTI,0,1,5.867202305
25320,Jan-20,PARCHEGGIO STRISCE BLU,1,3,3.581713343
25320,Apr-20,PARCHEGGIO STRISCE BLU,1,6,6.706622535
25320,May-20,PARCHEGGIO STRISCE BLU,1,10,14.07214927
25320,Jun-19,PARCHEGGIO STRISCE BLU,1,5,0.719966341
25320,Jun-20,PARCHEGGIO STRISCE BLU,1,5,9.780076532
25320,Jul-19,PARCHEGGIO STRISCE BLU,1,5,8.380120893
25320,Aug-19,PARCHEGGIO STRISCE BLU,1,3,6.962581281
25320,Sep-19,PARCHEGGIO STRISCE BLU,1,5,4.191527514
25320,Oct-19,PARCHEGGIO STRISCE BLU,1,5,4.286235179
25320,Nov-19,PARCHEGGIO STRISCE BLU,1,5,3.283974582
13501,Feb-20,PARCHEGGIO STRISCE BLU,1,1,3.5
13501,May-20,PARCHEGGIO STRISCE BLU,1,1,6
13501,Aug-19,PARCHEGGIO STRISCE BLU,1,1,0.02
13501,Sep-19,PARCHEGGIO STRISCE BLU,1,1,3.5
13501,Oct-19,PARCHEGGIO STRISCE BLU,1,1,3.5
11806,Oct-19,PARCHEGGI/TRAGHETTI,0,1,9.022101503
33995,Jun-19,PARCHEGGI/TRAGHETTI,0,1,4
33995,Sep-19,PARCHEGGI/TRAGHETTI,0,1,4
33995,Aug-19,PARCHEGGIO STRISCE BLU,1,2,25.33
35529,Jan-20,FUEL CON APP,1,4,237.01
35529,Feb-20,FUEL CON APP,1,4,258.51
35529,Mar-20,FUEL CON APP,1,4,272.02
35529,Apr-20,FUEL CON APP,1,2,133.02
35529,May-20,FUEL CON APP,1,4,284.02
35529,Jun-19,FUEL CON APP,1,8,436.04
35529,Jun-20,FUEL CON APP,1,3,168.01
35529,Jul-19,FUEL CON APP,1,5,312
35529,Aug-19,FUEL CON APP,1,5,285.03
35529,Sep-19,FUEL CON APP,1,8,426.02
35529,Oct-19,FUEL CON APP,1,6,308.02
35529,Nov-19,FUEL CON APP,1,2,111.01
35529,Dec-19,FUEL CON APP,1,3,178.7
14698,Sep-19,PARCHEGGI/TRAGHETTI,0,2,20
21907,Oct-19,PARCHEGGIO STRISCE BLU,1,1,1.8
28792,Apr-20,PARCHEGGI/TRAGHETTI,0,1,4.9
28792,Oct-19,PARCHEGGI/TRAGHETTI,0,1,4.9
28792,Jan-20,FUEL CON APP,1,3,100
28792,Feb-20,FUEL CON APP,1,4,200
28792,Mar-20,FUEL CON APP,1,2,100
28792,Apr-20,FUEL CON APP,1,4,222.01
28792,May-20,FUEL CON APP,1,3,150
28792,Jun-19,FUEL CON APP,1,4,200
28792,Jun-20,FUEL CON APP,1,4,210.01
28792,Jul-19,FUEL CON APP,1,3,150
28792,Aug-19,FUEL CON APP,1,3,160
28792,Sep-19,FUEL CON APP,1,3,150
28792,Oct-19,FUEL CON APP,1,3,150
28792,Nov-19,FUEL CON APP,1,2,100
28792,Dec-19,FUEL CON APP,1,3,150
28792,Jan-20,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Feb-20,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Mar-20,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Apr-20,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,May-20,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Jul-19,ASSICURAZIONE INFORTUNI,0,1,0
28792,Aug-19,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Sep-19,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Oct-19,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Nov-19,ASSICURAZIONE INFORTUNI,0,1,19.6
28792,Dec-19,ASSICURAZIONE INFORTUNI,0,1,19.6
4592,Jan-20,PARCHEGGI/TRAGHETTI,0,3,41.50810636
4592,Dec-19,PARCHEGGI/TRAGHETTI,0,1,40.94605357
21393,Jan-20,PARCHEGGI/TRAGHETTI,0,1,2
21393,Apr-20,PARCHEGGI/TRAGHETTI,0,1,1
21393,May-20,PARCHEGGI/TRAGHETTI,0,1,2
21393,Jun-19,PARCHEGGI/TRAGHETTI,0,1,2
21393,Oct-19,PARCHEGGI/TRAGHETTI,0,1,2
4718,Mar-20,PARCHEGGI/TRAGHETTI,0,2,19.8
4718,Jan-20,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Feb-20,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Mar-20,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Apr-20,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,May-20,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Jul-19,ASSICURAZIONE INFORTUNI,0,1,0
4718,Aug-19,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Sep-19,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Oct-19,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Nov-19,ASSICURAZIONE INFORTUNI,0,1,19.6
4718,Dec-19,ASSICURAZIONE INFORTUNI,0,1,19.6
33948,Feb-20,PARCHEGGIO STRISCE BLU,1,1,0.82
33948,Aug-19,PARCHEGGIO STRISCE BLU,1,1,1.36
33948,Dec-19,PARCHEGGIO STRISCE BLU,1,2,2.37
33948,May-20,BOLLO AUTO,1,1,170.51
24078,Sep-19,PARCHEGGI/TRAGHETTI,0,1,5.2
9560,Sep-19,PARCHEGGI/TRAGHETTI,0,1,10.98576472
15614,Jul-19,PARCHEGGI/TRAGHETTI,0,1,2
2215,Oct-19,PARCHEGGIO STRISCE BLU,1,2,2.43
2215,Oct-19,TURBO RICARICA CARTA,1,1,10
3582,Jan-20,PARCHEGGI/TRAGHETTI,0,1,2
3582,Feb-20,PARCHEGGI/TRAGHETTI,0,2,5.4
18406,Jan-20,PARCHEGGI/TRAGHETTI,0,1,4.55
18406,Mar-20,PARCHEGGI/TRAGHETTI,0,1,0.85
18406,Oct-19,PARCHEGGI/TRAGHETTI,0,2,3.4
18406,Nov-19,PARCHEGGI/TRAGHETTI,0,1,0.85
18406,Dec-19,PARCHEGGI/TRAGHETTI,0,1,1.7
4291,Jan-20,PARCHEGGI/TRAGHETTI,0,1,3.5
6658,May-20,PARCHEGGI/TRAGHETTI,0,1,8.065913718
6658,Dec-19,PARCHEGGI/TRAGHETTI,0,1,4.711346619
21704,Oct-19,PARCHEGGI/TRAGHETTI,0,2,6
11075,May-20,PARCHEGGI/TRAGHETTI,0,1,10.5
1067,Sep-19,PARCHEGGI/TRAGHETTI,0,4,13.73073832
2206,Jul-19,PARCHEGGI/TRAGHETTI,0,3,14.92192182
2206,Aug-19,PARCHEGGI/TRAGHETTI,0,2,25.31439454
22331,Feb-20,PARCHEGGI/TRAGHETTI,0,1,1.1
22331,Apr-20,PARCHEGGI/TRAGHETTI,0,1,4.4
22331,Jul-19,PARCHEGGI/TRAGHETTI,0,1,3.5
22331,Oct-19,PARCHEGGI/TRAGHETTI,0,1,2.5
22331,Nov-19,PARCHEGGI/TRAGHETTI,0,1,5
30939,Jun-19,PARCHEGGI/TRAGHETTI,0,3,6.092810529
30939,Jul-19,PARCHEGGI/TRAGHETTI,0,1,5.835786377
30221,Jul-19,FUEL CON APP,1,1,10
30221,Aug-19,FUEL CON APP,1,5,93
30221,Sep-19,FUEL CON APP,1,3,55
30221,Oct-19,FUEL CON APP,1,2,50
30221,Nov-19,FUEL CON APP,1,1,30
30221,Jul-19,TURBO RICARICA CARTA,1,1,30
30221,Aug-19,TURBO RICARICA CARTA,1,1,50
30221,Sep-19,TURBO RICARICA CARTA,1,1,50
30221,Oct-19,TURBO RICARICA CARTA,1,1,50
30221,Nov-19,TURBO RICARICA CARTA,1,1,30
13634,Aug-19,PARCHEGGI/TRAGHETTI,0,3,1.045199537
35088,Aug-19,PARCHEGGI/TRAGHETTI,0,1,7
31330,Sep-19,PARCHEGGI/TRAGHETTI,0,1,4
7375,Jun-20,PARCHEGGIO STRISCE BLU,1,1,1.06235191
