business_id,instructed_lawyer_id,transaction_id,relevant_price,commission_rate,transaction_type,created_at,instructed_at,notified_at,number_of_quotes,legal_area,international_lawyer,enterprise,cost_of_acquisition,cost_of_service
3579,33,34,242.0618505,0.15,back-to-lawyer,2014/09/22,2014/10/14,2014/11/05,1,IT & E-commerce,0,0,132.3271449,0
3579,33,113,161.374567,0.15,back-to-lawyer,2014/09/22,2014/10/14,2015/02/06,1,IT & E-commerce,0,0,132.3271449,0
3579,33,7,430.3321786,0.15,first,2014/09/22,2014/10/14,2014/10/14,1,IT & E-commerce,0,0,132.3271449,24.74410027
6285,33,20,134.4788058,0.15,first,2014/09/30,2014/10/27,2014/10/27,1,Intellectual Property,0,0,132.3271449,24.74410027
2431,54,26,1506.162625,0.15,first,2014/10/01,2014/10/03,2014/10/03,1,Corporate Law,1,0,132.3271449,24.74410027
6295,2,130,753.0813125,0.15,first,2014/10/01,2015/02/24,2015/02/24,1,Property,0,0,132.3271449,24.74410027
6373,54,25,537.9152232,0.15,first,2014/10/20,2014/11/03,2014/11/03,1,Tax,1,0,132.3271449,24.74410027
6409,48,24,2151.660893,0.15,first,2014/10/22,2014/10/31,2014/10/31,1,Corporate Law,0,0,132.3271449,24.74410027
2181,26,42,3361.970145,0.15,back-to-lawyer,2014/11/02,2014/11/05,2014/11/25,2,Commercial Law,0,0,132.3271449,0
2181,26,27,2689.576116,0.15,first,2014/11/02,2014/11/05,2014/11/05,2,Commercial Law,0,0,132.3271449,24.74410027
2181,26,64,2824.054922,0.15,back-to-lawyer,2014/11/02,2014/11/05,2014/12/12,2,Commercial Law,0,0,132.3271449,0
3645,33,44,441.0904831,0.15,first,2014/11/04,2014/11/10,2014/11/10,4,IT & E-commerce,0,0,132.3271449,24.74410027
3645,33,833,129.0996536,0.15,back-to-lawyer,2014/11/04,2014/11/10,2015/12/22,4,IT & E-commerce,0,0,132.3271449,0
3645,33,232,295.8533728,0.15,back-to-lawyer,2014/11/04,2014/11/10,2015/05/08,4,IT & E-commerce,0,0,132.3271449,0
3129,54,40,1721.328714,0.15,first,2014/11/05,2014/11/19,2014/11/19,5,Corporate Law,1,0,132.3271449,24.74410027
3129,54,76,860.6643572,0.15,back-to-lawyer,2014/11/05,2014/11/19,2015/01/06,5,Corporate Law,1,0,132.3271449,0
2611,33,50,199.0286326,0.15,first,2014/11/07,2014/11/28,2014/11/28,5,Commercial Law,0,0,132.3271449,24.74410027
2671,48,38,3154.872784,0.15,first,2014/11/07,2014/11/18,2014/11/18,4,Corporate Law,0,0,132.3271449,24.74410027
2671,48,609,1075.830446,0.15,back-to-lawyer,2014/11/07,2014/11/18,2015/09/28,4,Corporate Law,0,0,132.3271449,0
2671,48,608,2151.660893,0.15,back-to-lawyer,2014/11/07,2014/11/18,2015/09/28,4,Corporate Law,0,0,132.3271449,0
2671,48,122,4944.312324,0.15,back-to-lawyer,2014/11/07,2014/11/18,2015/02/12,4,Corporate Law,0,0,132.3271449,0
213,33,137,295.8533728,0.15,back-to-lawyer,2014/11/07,2014/11/10,2015/03/02,4,IT & E-commerce,0,0,132.3271449,0
213,33,1090,403.4364174,0.15,back-to-lawyer,2014/11/07,2014/11/10,2016/03/09,4,IT & E-commerce,0,0,132.3271449,0
213,33,45,430.3321786,0.15,first,2014/11/07,2014/11/10,2014/11/10,4,IT & E-commerce,0,0,132.3271449,24.74410027
1663,4,89,537.9152232,0.15,first,2014/11/10,2015/01/20,2015/01/20,3,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
6453,83,103,537.9152232,0.15,first,2014/11/16,2015/01/31,2015/01/31,4,Commercial Law,0,0,132.3271449,24.74410027
2313,33,71,591.7067456,0.15,first,2014/11/20,2014/12/18,2014/12/18,4,IT & E-commerce,0,0,132.3271449,24.74410027
2607,54,54,322.7491339,0.15,first,2014/11/20,2014/12/03,2014/12/03,3,Employment,1,0,132.3271449,24.74410027
4115,60,58,322.7491339,0.15,first,2014/11/21,2014/12/04,2014/12/04,3,Other,0,0,132.3271449,24.74410027
2267,14,48,376.5406563,0.15,back-to-lexoo,2014/11/21,2014/11/28,2014/11/28,1,Property,0,0,132.3271449,24.74410027
2267,14,265,2689.576116,0.15,back-to-lawyer,2014/11/21,2014/11/28,2015/05/27,1,Property,0,0,132.3271449,0
2267,44,57,3227.491339,0.15,first,2014/11/21,2014/11/26,2014/11/26,1,Immigration,0,0,132.3271449,24.74410027
2829,19,340,860.6643572,0.15,first,2014/11/21,2015/06/23,2015/06/23,0,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
2253,54,155,430.3321786,0.15,first,2014/11/23,2015/03/18,2015/03/18,3,Commercial Law,1,0,132.3271449,24.74410027
2567,55,56,1290.996536,0.15,first,2014/11/24,2014/12/04,2014/12/04,2,Property,0,0,132.3271449,24.74410027
2261,54,52,430.3321786,0.15,first,2014/11/27,2014/12/03,2014/12/03,2,Corporate Law,1,0,132.3271449,24.74410027
2261,54,181,753.0813125,0.15,back-to-lawyer,2014/11/27,2014/12/03,2015/03/31,2,Corporate Law,1,0,132.3271449,0
3653,33,66,349.6448951,0.15,first,2014/11/27,2014/12/18,2014/12/18,4,IT & E-commerce,0,0,132.3271449,24.74410027
1703,54,53,107.5830446,0.15,first,2014/11/30,2014/12/03,2014/12/03,1,Corporate Law,1,0,132.3271449,24.74410027
2551,33,84,618.6025067,0.15,first,2014/12/02,2015/01/15,2015/01/15,4,IT & E-commerce,0,0,132.3271449,24.74410027
2585,54,61,645.4982679,0.15,first,2014/12/03,2014/12/12,2014/12/12,2,Funding/Shares,1,0,132.3271449,24.74410027
4201,33,646,295.8533728,0.15,back-to-lawyer,2014/12/04,2014/12/18,2015/10/08,4,IT & E-commerce,0,0,132.3271449,0
4201,33,70,941.3516407,0.15,first,2014/12/04,2014/12/18,2014/12/18,4,IT & E-commerce,0,0,132.3271449,24.74410027
2345,54,77,268.9576116,0.15,first,2014/12/08,2015/01/06,2015/01/06,4,Funding/Shares,1,0,132.3271449,24.74410027
2701,54,81,753.0813125,0.15,first,2014/12/11,2015/01/07,2015/01/07,5,IT & E-commerce,1,0,132.3271449,24.74410027
4661,54,74,591.7067456,0.15,first,2014/12/12,2014/12/18,2014/12/18,5,IT & E-commerce,1,0,132.3271449,24.74410027
6519,73,100,209.2920551,0.15,first,2014/12/18,2015/01/29,2015/01/29,4,Commercial Law,0,0,132.3271449,24.74410027
2291,54,82,968.2474018,0.15,back-to-lawyer,2014/12/29,2015/01/07,2015/01/07,2,Funding/Shares,1,0,132.3271449,0
2291,54,80,268.9576116,0.15,first,2014/12/29,2015/01/07,2015/01/07,2,Funding/Shares,1,0,132.3271449,24.74410027
2649,33,91,457.2279398,0.15,first,2015/01/15,2015/01/21,2015/01/21,4,IT & E-commerce,0,0,132.3271449,24.74410027
2443,84,96,806.8728349,0.15,first,2015/01/20,2015/01/27,2015/01/27,3,Intellectual Property,0,0,132.3271449,24.74410027
2957,8,379,301.232525,0.15,first,2015/01/20,2015/07/02,2015/07/02,3,Commercial Law,0,0,132.3271449,24.74410027
2365,33,226,779.9770737,0.15,back-to-lawyer,2015/01/21,2015/03/31,2015/04/30,5,IT & E-commerce,0,0,132.3271449,0
2365,33,182,403.4364174,0.15,first,2015/01/21,2015/03/31,2015/03/31,5,IT & E-commerce,0,0,132.3271449,24.74410027
3481,54,146,1075.830446,0.15,back-to-lexoo,2015/01/22,2015/03/10,2015/03/10,4,Corporate Law,1,0,132.3271449,24.74410027
3391,54,554,322.7491339,0.15,first,2015/01/22,2015/09/17,2015/09/17,4,Intellectual Property,1,0,132.3271449,24.74410027
2579,53,108,129.0996536,0.15,back-to-lawyer,2015/01/26,2015/02/03,2015/02/04,4,Commercial Law,0,0,132.3271449,0
2579,53,106,398.0572652,0.15,first,2015/01/26,2015/02/03,2015/02/03,4,Commercial Law,0,0,132.3271449,24.74410027
2579,53,431,505.6403099,0.15,back-to-lawyer,2015/01/26,2015/02/03,2015/07/28,4,Commercial Law,0,0,132.3271449,0
6363,84,109,193.6494804,0.15,first,2015/01/26,2015/02/05,2015/02/05,3,Insolvency & Debt administration,0,0,132.3271449,24.74410027
3481,65,116,376.5406563,0.15,first,2015/01/28,2015/02/10,2015/02/10,5,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
2457,116,133,2092.490218,0.15,first,2015/01/30,2015/02/20,2015/02/20,2,Intellectual Property,1,0,132.3271449,24.74410027
3313,33,114,349.6448951,0.15,first,2015/02/04,2015/02/09,2015/02/09,3,IT & E-commerce,0,0,132.3271449,24.74410027
6405,111,111,878.7705836,0.15,first,2015/02/04,2015/02/05,2015/02/05,2,Corporate Law,0,0,132.3271449,24.74410027
3917,33,132,1793.05433,0.15,first,2015/02/06,2015/02/25,2015/02/25,4,Commercial Law,0,0,132.3271449,24.74410027
823,54,196,473.3653965,0.15,first,2015/02/09,2015/04/09,2015/04/09,3,Corporate Law,1,0,132.3271449,24.74410027
2341,33,131,403.4364174,0.15,first,2015/02/11,2015/02/25,2015/02/25,4,Intellectual Property,0,0,132.3271449,24.74410027
1035,54,1064,882.1809661,0.15,back-to-lawyer,2015/02/12,2015/03/24,2016/03/01,4,Corporate Law,1,0,132.3271449,0
1035,54,4782,49.48820054,0.15,back-to-lawyer,2015/02/12,2015/03/24,2018/01/30,4,Corporate Law,1,0,132.3271449,0
1035,54,165,457.2279398,0.15,first,2015/02/12,2015/03/24,2015/03/24,4,Corporate Law,1,0,132.3271449,24.74410027
2661,99,212,1506.162625,0.15,first,2015/02/13,2015/04/24,2015/04/24,1,Family Law,0,0,132.3271449,24.74410027
2335,86,170,651.9532506,0.15,first,2015/02/13,2015/03/26,2015/03/26,3,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
603,100,141,806.8728349,0.15,first,2015/02/16,2015/03/04,2015/03/04,4,Corporate Law,0,0,132.3271449,24.74410027
2389,54,214,1075.830446,0.15,first,2015/02/16,2015/04/24,2015/04/24,4,Corporate Law,1,0,132.3271449,24.74410027
2389,54,4781,537.9152232,0.15,back-to-lawyer,2015/02/16,2015/04/24,2018/01/30,4,Corporate Law,1,0,132.3271449,0
6589,33,136,833.768596,0.15,first,2015/02/16,2015/03/02,2015/03/02,4,IT & E-commerce,0,0,132.3271449,24.74410027
2833,56,344,2151.660893,0.15,first,2015/02/17,2015/06/24,2015/06/24,4,Commercial Law,0,0,132.3271449,24.74410027
2833,56,788,4572.279398,0.15,back-to-lawyer,2015/02/17,2015/06/24,2015/11/30,4,Commercial Law,0,0,132.3271449,0
2833,56,443,5110.194621,0.15,back-to-lawyer,2015/02/17,2015/06/24,2015/07/31,4,Commercial Law,0,0,132.3271449,0
2833,56,442,2768.111739,0.15,back-to-lawyer,2015/02/17,2015/06/24,2015/07/31,4,Commercial Law,0,0,132.3271449,0
3215,84,138,1344.788058,0.15,first,2015/02/18,2015/03/04,2015/03/04,2,Consumer,0,0,132.3271449,24.74410027
6521,84,129,376.5406563,0.15,first,2015/02/20,2015/02/20,2015/02/20,4,Employment,0,0,132.3271449,24.74410027
2301,33,483,242.0618505,0.15,back-to-lawyer,2015/02/20,2015/03/18,2015/08/17,3,IT & E-commerce,0,0,132.3271449,0
2301,33,154,107.5830446,0.15,first,2015/02/20,2015/03/18,2015/03/18,3,IT & E-commerce,0,0,132.3271449,24.74410027
3409,8,145,1344.788058,0.15,first,2015/02/22,2015/03/10,2015/03/10,3,Corporate Law,0,0,132.3271449,24.74410027
3401,54,1063,806.8728349,0.15,back-to-lawyer,2015/02/25,2015/03/10,2016/03/01,5,IT & E-commerce,1,0,132.3271449,0
3401,54,147,516.3986143,0.15,first,2015/02/25,2015/03/10,2015/03/10,5,IT & E-commerce,1,0,132.3271449,24.74410027
3299,33,179,430.3321786,0.15,first,2015/02/25,2015/03/31,2015/03/31,5,IT & E-commerce,0,0,132.3271449,24.74410027
6049,8,1507,2807.917465,0.15,back-to-lawyer,2015/02/26,2015/03/20,2016/06/21,4,Commercial Law,0,0,132.3271449,0
6049,8,169,2581.993072,0.15,first,2015/02/26,2015/03/20,2015/03/20,4,Commercial Law,0,0,132.3271449,24.74410027
2547,54,144,193.6494804,0.15,first,2015/02/27,2015/03/05,2015/03/05,4,Intellectual Property,1,0,132.3271449,24.74410027
1219,86,269,860.6643572,0.15,first,2015/03/03,2015/05/28,2015/05/28,5,Funding/Shares,0,0,132.3271449,24.74410027
183,136,205,860.6643572,0.15,first,2015/03/09,2015/04/03,2015/04/03,1,Property,0,0,132.3271449,24.74410027
6381,132,151,860.6643572,0.15,first,2015/03/13,2015/03/16,2015/03/16,4,Property,0,0,132.3271449,24.74410027
6381,132,1510,430.3321786,0.15,back-to-lawyer,2015/03/13,2015/03/16,2016/06/21,4,Property,0,0,132.3271449,0
6457,132,184,860.6643572,0.15,first,2015/03/14,2015/04/01,2015/04/01,4,Property,0,0,132.3271449,24.74410027
2509,32,153,129.0996536,0.15,first,2015/03/16,2015/03/16,2015/03/16,1,Intellectual Property,0,0,132.3271449,24.74410027
3397,100,159,268.9576116,0.15,first,2015/03/16,2015/03/22,2015/03/22,2,Commercial Law,0,0,132.3271449,24.74410027
3527,54,164,161.374567,0.15,first,2015/03/16,2015/03/24,2015/03/24,4,Employment,1,0,132.3271449,24.74410027
1401,100,178,3227.491339,0.15,first,2015/03/16,2015/03/31,2015/03/31,4,Corporate Law,0,0,132.3271449,24.74410027
1401,100,448,806.8728349,0.15,back-to-lawyer,2015/03/16,2015/03/31,2015/08/02,4,Corporate Law,0,0,132.3271449,0
3993,33,177,618.6025067,0.15,first,2015/03/18,2015/03/27,2015/03/27,4,IT & E-commerce,0,0,132.3271449,24.74410027
2349,33,176,376.5406563,0.15,first,2015/03/19,2015/03/27,2015/03/27,4,IT & E-commerce,0,0,132.3271449,24.74410027
2433,54,4774,860.6643572,0.15,back-to-lawyer,2015/03/19,2015/04/24,2018/01/30,4,Funding/Shares,1,0,132.3271449,0
2433,54,216,1344.788058,0.15,back-to-lexoo,2015/03/19,2015/04/24,2015/04/24,4,Funding/Shares,1,0,132.3271449,24.74410027
1349,140,424,10489.34685,0.15,first,2015/03/20,2015/07/24,2015/07/24,3,Financial Services,0,0,132.3271449,24.74410027
1349,140,986,1506.162625,0.15,back-to-lawyer,2015/03/20,2015/07/24,2016/02/11,3,Financial Services,0,0,132.3271449,0
3073,132,190,322.7491339,0.15,first,2015/03/21,2015/04/09,2015/04/09,2,Consumer,0,0,132.3271449,24.74410027
2369,132,185,860.6643572,0.15,first,2015/03/22,2015/04/02,2015/04/02,4,Property,0,0,132.3271449,24.74410027
1865,54,173,537.9152232,0.15,first,2015/03/25,2015/03/27,2015/03/27,4,Funding/Shares,1,0,132.3271449,24.74410027
1865,54,174,559.4318322,0.15,back-to-lexoo,2015/03/25,2015/03/27,2015/03/27,5,Employment,1,0,132.3271449,24.74410027
3853,54,192,645.4982679,0.15,first,2015/03/30,2015/04/09,2015/04/09,4,Commercial Law,1,0,132.3271449,24.74410027
3845,60,311,717.5789078,0.15,first,2015/03/30,2015/06/12,2015/06/12,1,Commercial Law,0,0,132.3271449,24.74410027
3861,133,229,215.1660893,0.15,first,2015/03/31,2015/05/02,2015/05/02,4,IT & E-commerce,0,0,132.3271449,24.74410027
3849,133,188,215.1660893,0.15,first,2015/03/31,2015/04/08,2015/04/08,5,IT & E-commerce,0,0,132.3271449,24.74410027
1071,118,198,537.9152232,0.15,first,2015/04/01,2015/04/09,2015/04/09,5,Commercial Law,0,0,132.3271449,24.74410027
2547,54,227,268.9576116,0.15,back-to-lexoo,2015/04/01,2015/04/30,2015/04/30,5,IT & E-commerce,1,0,132.3271449,24.74410027
1465,54,201,806.8728349,0.15,first,2015/04/02,2015/04/09,2015/04/09,1,Corporate Law,1,0,132.3271449,24.74410027
3119,32,283,457.2279398,0.15,back-to-lawyer,2015/04/06,2015/05/05,2015/06/03,4,Intellectual Property,0,0,132.3271449,0
3119,32,230,457.2279398,0.15,first,2015/04/06,2015/05/05,2015/05/05,4,Intellectual Property,0,0,132.3271449,24.74410027
2169,32,208,295.8533728,0.15,first,2015/04/07,2015/04/22,2015/04/22,4,IT & E-commerce,0,0,132.3271449,24.74410027
2501,133,204,215.1660893,0.15,first,2015/04/07,2015/04/16,2015/04/16,4,Commercial Law,0,0,132.3271449,24.74410027
3547,54,408,645.4982679,0.15,first,2015/04/08,2015/07/16,2015/07/16,4,Corporate Law,1,0,132.3271449,24.74410027
3185,32,284,484.1237009,0.15,first,2015/04/08,2015/06/03,2015/06/03,5,IT & E-commerce,0,0,132.3271449,24.74410027
3185,32,285,753.0813125,0.15,back-to-lexoo,2015/04/08,2015/06/03,2015/06/03,5,Intellectual Property,0,0,132.3271449,24.74410027
3451,32,297,699.2897902,0.15,first,2015/04/08,2015/06/05,2015/06/05,3,IT & E-commerce,0,0,132.3271449,24.74410027
1573,132,197,860.6643572,0.15,first,2015/04/08,2015/04/13,2015/04/13,4,Property,0,0,132.3271449,24.74410027
1573,132,3565,295.8533728,0.15,back-to-lawyer,2015/04/08,2015/04/13,2017/07/31,4,Property,0,0,132.3271449,0
4235,132,237,860.6643572,0.15,first,2015/04/10,2015/05/11,2015/05/11,4,Property,0,0,132.3271449,24.74410027
2903,33,250,779.9770737,0.15,first,2015/04/10,2015/05/18,2015/05/18,4,IT & E-commerce,0,0,132.3271449,24.74410027
3121,65,827,105.4313838,0.15,back-to-lawyer,2015/04/14,2015/05/15,2015/12/17,4,Litigation & Dispute Resolution,0,0,132.3271449,0
3121,65,244,154.274086,0.15,first,2015/04/14,2015/05/15,2015/05/15,4,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
3121,65,1165,105.4313838,0.15,back-to-lawyer,2015/04/14,2015/05/15,2016/03/30,4,Litigation & Dispute Resolution,0,0,132.3271449,0
2575,54,337,451.8487875,0.15,first,2015/04/21,2015/06/23,2015/06/23,4,Employment,1,0,132.3271449,24.74410027
2427,33,222,726.1855514,0.15,first,2015/04/23,2015/04/30,2015/04/30,4,IT & E-commerce,0,0,132.3271449,24.74410027
3709,133,239,322.7491339,0.15,first,2015/04/24,2015/05/11,2015/05/11,3,Consumer,0,0,132.3271449,24.74410027
2655,132,293,1290.996536,0.15,first,2015/04/27,2015/06/05,2015/06/05,4,Property,0,0,132.3271449,24.74410027
3243,33,220,699.2897902,0.15,first,2015/04/27,2015/04/30,2015/04/30,5,IT & E-commerce,0,0,132.3271449,24.74410027
3243,33,456,376.5406563,0.15,back-to-lawyer,2015/04/27,2015/04/30,2015/08/05,5,IT & E-commerce,0,0,132.3271449,0
213,33,221,134.4788058,0.15,back-to-lexoo,2015/04/27,2015/04/30,2015/04/30,3,Commercial Law,0,0,132.3271449,24.74410027
3647,54,257,295.8533728,0.15,first,2015/04/28,2015/05/21,2015/05/21,4,Corporate Law,1,0,132.3271449,24.74410027
2677,133,236,484.1237009,0.15,first,2015/04/28,2015/05/11,2015/05/11,4,Consumer,0,0,132.3271449,24.74410027
3203,33,1591,358.6065627,0.15,back-to-lawyer,2015/04/29,2015/06/25,2016/07/13,4,IT & E-commerce,0,0,132.3271449,0
3203,33,350,1075.830446,0.15,first,2015/04/29,2015/06/25,2015/06/25,4,IT & E-commerce,0,0,132.3271449,24.74410027
2481,32,281,161.374567,0.15,first,2015/04/30,2015/06/03,2015/06/03,1,Intellectual Property,0,0,132.3271449,24.74410027
2379,84,246,1321.119788,0.15,first,2015/04/30,2015/05/15,2015/05/15,1,Employment,0,0,132.3271449,24.74410027
2495,100,245,268.9576116,0.15,first,2015/04/30,2015/05/15,2015/05/15,5,Employment,0,0,132.3271449,24.74410027
2495,100,928,806.8728349,0.15,back-to-lawyer,2015/04/30,2015/05/15,2016/01/26,5,Employment,0,0,132.3271449,0
2633,53,247,129.0996536,0.15,first,2015/05/01,2015/05/15,2015/05/15,4,Commercial Law,0,0,132.3271449,24.74410027
3867,54,240,349.6448951,0.15,first,2015/05/06,2015/05/13,2015/05/13,4,IT & E-commerce,1,0,132.3271449,24.74410027
3867,54,1067,322.7491339,0.15,back-to-lawyer,2015/05/06,2015/05/13,2016/03/01,4,IT & E-commerce,1,0,132.3271449,0
3867,54,511,349.6448951,0.15,back-to-lawyer,2015/05/06,2015/05/13,2015/08/26,4,IT & E-commerce,1,0,132.3271449,0
3867,54,1068,430.3321786,0.15,back-to-lawyer,2015/05/06,2015/05/13,2016/03/01,4,IT & E-commerce,1,0,132.3271449,0
4955,65,275,419.5738741,0.15,first,2015/05/06,2015/05/29,2015/05/29,3,Consumer,0,0,132.3271449,24.74410027
2887,133,248,215.1660893,0.15,first,2015/05/06,2015/05/15,2015/05/15,3,Consumer,0,0,132.3271449,24.74410027
3871,133,242,129.0996536,0.15,first,2015/05/06,2015/05/14,2015/05/14,4,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
4317,33,1503,564.8109844,0.15,back-to-lawyer,2015/05/06,2015/07/02,2016/06/21,6,IT & E-commerce,0,0,132.3271449,0
4317,33,2327,3093.012534,0.15,back-to-lawyer,2015/05/06,2015/07/02,2017/01/05,6,IT & E-commerce,0,0,132.3271449,0
4317,33,376,5970.858978,0.15,first,2015/05/06,2015/07/02,2015/07/02,6,IT & E-commerce,0,0,132.3271449,24.74410027
5053,54,540,537.9582565,0.15,first,2015/05/08,2015/09/11,2015/09/11,4,Corporate Law,1,0,132.3271449,24.74410027
3283,44,487,4034.364174,0.15,first,2015/05/08,2015/08/18,2015/08/18,5,Immigration,0,0,132.3271449,24.74410027
2965,86,270,537.9152232,0.15,first,2015/05/09,2015/05/28,2015/05/28,3,Insolvency & Debt administration,0,0,132.3271449,24.74410027
4255,86,271,1398.57958,0.15,first,2015/05/10,2015/05/28,2015/05/28,5,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
3773,144,787,1194.171796,0.15,back-to-lawyer,2015/05/12,2015/05/27,2015/11/27,3,Intellectual Property,0,0,132.3271449,0
3773,144,266,699.2897902,0.15,first,2015/05/12,2015/05/27,2015/05/27,3,Intellectual Property,0,0,132.3271449,24.74410027
2405,133,274,349.6448951,0.15,first,2015/05/13,2015/05/29,2015/05/29,4,IT & E-commerce,0,0,132.3271449,24.74410027
1237,54,260,268.9576116,0.15,first,2015/05/17,2015/05/22,2015/05/22,4,Commercial Law,1,0,132.3271449,24.74410027
4251,133,296,322.7491339,0.15,first,2015/05/20,2015/06/05,2015/06/05,4,IT & E-commerce,0,0,132.3271449,24.74410027
3509,54,267,376.5406563,0.15,first,2015/05/22,2015/05/28,2015/05/28,3,IT & E-commerce,1,0,132.3271449,24.74410027
3509,54,629,376.5406563,0.15,back-to-lawyer,2015/05/22,2015/05/28,2015/10/02,3,IT & E-commerce,1,0,132.3271449,0
1527,84,336,376.5406563,0.15,first,2015/05/24,2015/06/22,2015/06/22,4,Litigation & Dispute Resolution,0,0,132.3271449,24.74410027
1527,84,544,484.1237009,0.15,back-to-lawyer,2015/05/24,2015/06/22,2015/09/15,4,Litigation & Dispute Resolution,0,0,132.3271449,0
2363,133,300,215.1660893,0.15,first,2015/05/27,2015/06/11,2015/06/11,4,IT & E-commerce,0,0,132.3271449,24.74410027
5645,53,301,1613.74567,0.15,first,2015/05/27,2015/06/09,2015/06/09,4,Other,0,0,132.3271449,24.74410027
2289,149,328,2232.348176,0.15,first,2015/05/28,2015/07/07,2015/07/07,2,IT & E-commerce,0,0,132.3271449,24.74410027
2515,99,308,1075.830446,0.15,first,2015/05/29,2015/06/11,2015/06/11,2,Family Law,0,0,132.3271449,24.74410027
2527,133,290,172.1328714,0.15,first,2015/06/01,2015/06/04,2015/06/04,3,Other,0,0,132.3271449,24.74410027
3443,84,543,1075.830446,0.15,back-to-lawyer,2015/06/01,2015/07/02,2015/09/15,1,Employment,0,0,132.3271449,0
3443,84,380,537.9152232,0.15,first,2015/06/01,2015/07/02,2015/07/02,1,Employment,0,0,132.3271449,24.74410027
4245,160,313,2323.793764,0.15,back-to-lexoo,2015/06/02,2015/06/12,2015/06/12,3,Employment,0,0,132.3271449,24.74410027
4245,160,1409,645.4982679,0.15,back-to-lawyer,2015/06/02,2015/06/12,2016/06/01,3,Employment,0,0,132.3271449,0
4245,142,1206,2044.077848,0.15,back-to-lawyer,2015/06/02,2015/06/12,2016/04/04,2,Employment,0,0,132.3271449,0
